Account ID,Account Name,Row,Access,Project Year,Energy Source,Percent
62180,Communauté urbaine du Grand Nancy,9,Public,2017,Solar,
62180,Communauté urbaine du Grand Nancy,10,Public,2017,Unknown sources,
60433,City of Hvidovre,1,Public,2017,Coal,
60433,City of Hvidovre,2,Public,2017,Gas,
60433,City of Hvidovre,3,Public,2017,Oil,
60433,City of Hvidovre,4,Public,2017,Nuclear,0
60433,City of Hvidovre,5,Public,2017,Hydro,0
60433,City of Hvidovre,6,Public,2017,Biomass,
60433,City of Hvidovre,7,Public,2017,Wind,23
60433,City of Hvidovre,8,Public,2017,Geothermal,0
60433,City of Hvidovre,9,Public,2017,Solar,2
60433,City of Hvidovre,10,Public,2017,Unknown sources,75
54408,Aarhus Kommune,1,Public,2017,Coal,
54408,Aarhus Kommune,2,Public,2017,Gas,
54408,Aarhus Kommune,3,Public,2017,Oil,
54408,Aarhus Kommune,4,Public,2017,Nuclear,
54408,Aarhus Kommune,5,Public,2017,Hydro,
54408,Aarhus Kommune,6,Public,2017,Biomass,
54408,Aarhus Kommune,7,Public,2017,Wind,
54408,Aarhus Kommune,8,Public,2017,Geothermal,
54408,Aarhus Kommune,9,Public,2017,Solar,
54408,Aarhus Kommune,10,Public,2017,Unknown sources,
36043,Abuja Federal Capital Territory,1,Public,2017,Coal,
36043,Abuja Federal Capital Territory,2,Public,2017,Gas,
36043,Abuja Federal Capital Territory,3,Public,2017,Oil,
36043,Abuja Federal Capital Territory,4,Public,2017,Nuclear,
36043,Abuja Federal Capital Territory,5,Public,2017,Hydro,
36043,Abuja Federal Capital Territory,6,Public,2017,Biomass,
36043,Abuja Federal Capital Territory,7,Public,2017,Wind,
36043,Abuja Federal Capital Territory,8,Public,2017,Geothermal,
36043,Abuja Federal Capital Territory,9,Public,2017,Solar,
36043,Abuja Federal Capital Territory,10,Public,2017,Unknown sources,
36223,Antananarivo,1,Public,2017,Coal,
36223,Antananarivo,2,Public,2017,Gas,
36223,Antananarivo,3,Public,2017,Oil,
36223,Antananarivo,4,Public,2017,Nuclear,
36223,Antananarivo,5,Public,2017,Hydro,
36223,Antananarivo,6,Public,2017,Biomass,
36223,Antananarivo,7,Public,2017,Wind,
36223,Antananarivo,8,Public,2017,Geothermal,
36223,Antananarivo,9,Public,2017,Solar,
36223,Antananarivo,10,Public,2017,Unknown sources,
58596,Arusha City Council,1,Public,2017,Coal,
58596,Arusha City Council,2,Public,2017,Gas,10
58596,Arusha City Council,3,Public,2017,Oil,5
58596,Arusha City Council,4,Public,2017,Nuclear,
58596,Arusha City Council,5,Public,2017,Hydro,60
58596,Arusha City Council,6,Public,2017,Biomass,
58596,Arusha City Council,7,Public,2017,Wind,2
58596,Arusha City Council,8,Public,2017,Geothermal,
58596,Arusha City Council,9,Public,2017,Solar,1
58596,Arusha City Council,10,Public,2017,Unknown sources,
54498,Ayuntamiento de Murcia,1,Public,2017,Coal,20.3
54498,Ayuntamiento de Murcia,2,Public,2017,Gas,20.1
54498,Ayuntamiento de Murcia,3,Public,2017,Oil,0.6
54498,Ayuntamiento de Murcia,4,Public,2017,Nuclear,21.9
54498,Ayuntamiento de Murcia,5,Public,2017,Hydro,11
54498,Ayuntamiento de Murcia,6,Public,2017,Biomass,2
54498,Ayuntamiento de Murcia,7,Public,2017,Wind,19
54498,Ayuntamiento de Murcia,8,Public,2017,Geothermal,
54498,Ayuntamiento de Murcia,9,Public,2017,Solar,5.1
54498,Ayuntamiento de Murcia,10,Public,2017,Unknown sources,
50679,Barreiro,1,Public,2017,Coal,
50679,Barreiro,2,Public,2017,Gas,
50679,Barreiro,3,Public,2017,Oil,
50679,Barreiro,4,Public,2017,Nuclear,
50679,Barreiro,5,Public,2017,Hydro,
50679,Barreiro,6,Public,2017,Biomass,
50679,Barreiro,7,Public,2017,Wind,
50679,Barreiro,8,Public,2017,Geothermal,
50679,Barreiro,9,Public,2017,Solar,
50679,Barreiro,10,Public,2017,Unknown sources,
58795,Blantyre City Council,1,Public,2017,Coal,
58795,Blantyre City Council,2,Public,2017,Gas,
58795,Blantyre City Council,3,Public,2017,Oil,
58795,Blantyre City Council,4,Public,2017,Nuclear,
58795,Blantyre City Council,5,Public,2017,Hydro,
58795,Blantyre City Council,6,Public,2017,Biomass,
58795,Blantyre City Council,7,Public,2017,Wind,
58795,Blantyre City Council,8,Public,2017,Geothermal,
58795,Blantyre City Council,9,Public,2017,Solar,
58795,Blantyre City Council,10,Public,2017,Unknown sources,
44132,Bornova Municipality,1,Public,2017,Coal,
44132,Bornova Municipality,2,Public,2017,Gas,
44132,Bornova Municipality,3,Public,2017,Oil,
44132,Bornova Municipality,4,Public,2017,Nuclear,
44132,Bornova Municipality,5,Public,2017,Hydro,
44132,Bornova Municipality,6,Public,2017,Biomass,
44132,Bornova Municipality,7,Public,2017,Wind,
44132,Bornova Municipality,8,Public,2017,Geothermal,
44132,Bornova Municipality,9,Public,2017,Solar,
44132,Bornova Municipality,10,Public,2017,Unknown sources,
50680,Cascais,1,Public,2017,Coal,7
50680,Cascais,2,Public,2017,Gas,1
50680,Cascais,3,Public,2017,Oil,10
50680,Cascais,4,Public,2017,Nuclear,2
50680,Cascais,5,Public,2017,Hydro,13
50680,Cascais,6,Public,2017,Biomass,2
50680,Cascais,7,Public,2017,Wind,52
50680,Cascais,8,Public,2017,Geothermal,
50680,Cascais,9,Public,2017,Solar,6
50680,Cascais,10,Public,2017,Unknown sources,
59151,City of Akureyri,1,Public,2017,Coal,0
59151,City of Akureyri,2,Public,2017,Gas,0
59151,City of Akureyri,3,Public,2017,Oil,0
59151,City of Akureyri,4,Public,2017,Nuclear,0
59151,City of Akureyri,5,Public,2017,Hydro,70
59151,City of Akureyri,6,Public,2017,Biomass,0
59151,City of Akureyri,7,Public,2017,Wind,0
59151,City of Akureyri,8,Public,2017,Geothermal,30
59151,City of Akureyri,9,Public,2017,Solar,0
59151,City of Akureyri,10,Public,2017,Unknown sources,
54521,City of Bournemouth,1,Public,2017,Coal,
54521,City of Bournemouth,2,Public,2017,Gas,
54521,City of Bournemouth,3,Public,2017,Oil,
54521,City of Bournemouth,4,Public,2017,Nuclear,
54521,City of Bournemouth,5,Public,2017,Hydro,
54521,City of Bournemouth,6,Public,2017,Biomass,
54521,City of Bournemouth,7,Public,2017,Wind,
54521,City of Bournemouth,8,Public,2017,Geothermal,
54521,City of Bournemouth,9,Public,2017,Solar,
54521,City of Bournemouth,10,Public,2017,Unknown sources,
31052,City of Cardiff,1,Public,2017,Coal,
31052,City of Cardiff,2,Public,2017,Gas,
31052,City of Cardiff,3,Public,2017,Oil,
31052,City of Cardiff,4,Public,2017,Nuclear,
31052,City of Cardiff,5,Public,2017,Hydro,
31052,City of Cardiff,6,Public,2017,Biomass,
31052,City of Cardiff,7,Public,2017,Wind,
31052,City of Cardiff,8,Public,2017,Geothermal,
31052,City of Cardiff,9,Public,2017,Solar,
31052,City of Cardiff,10,Public,2017,Unknown sources,
50650,City of Gibraltar,1,Public,2017,Coal,
50650,City of Gibraltar,2,Public,2017,Gas,
50650,City of Gibraltar,3,Public,2017,Oil,99.8
50650,City of Gibraltar,4,Public,2017,Nuclear,
50650,City of Gibraltar,5,Public,2017,Hydro,
50650,City of Gibraltar,6,Public,2017,Biomass,
50650,City of Gibraltar,7,Public,2017,Wind,
50650,City of Gibraltar,8,Public,2017,Geothermal,
50650,City of Gibraltar,9,Public,2017,Solar,0.2
50650,City of Gibraltar,10,Public,2017,Unknown sources,
59156,City of Grand-Bassam,1,Public,2017,Coal,
59156,City of Grand-Bassam,2,Public,2017,Gas,
59156,City of Grand-Bassam,3,Public,2017,Oil,
59156,City of Grand-Bassam,4,Public,2017,Nuclear,
59156,City of Grand-Bassam,5,Public,2017,Hydro,
59156,City of Grand-Bassam,6,Public,2017,Biomass,
59156,City of Grand-Bassam,7,Public,2017,Wind,
59156,City of Grand-Bassam,8,Public,2017,Geothermal,
59156,City of Grand-Bassam,9,Public,2017,Solar,
59156,City of Grand-Bassam,10,Public,2017,Unknown sources,
8242,City of Helsinki,1,Public,2017,Coal,21.9
8242,City of Helsinki,2,Public,2017,Gas,46
8242,City of Helsinki,3,Public,2017,Oil,
8242,City of Helsinki,4,Public,2017,Nuclear,21
8242,City of Helsinki,5,Public,2017,Hydro,11
8242,City of Helsinki,6,Public,2017,Biomass,
8242,City of Helsinki,7,Public,2017,Wind,0.1
8242,City of Helsinki,8,Public,2017,Geothermal,
8242,City of Helsinki,9,Public,2017,Solar,
8242,City of Helsinki,10,Public,2017,Unknown sources,
36036,City of Ibadan,1,Public,2017,Coal,0
36036,City of Ibadan,2,Public,2017,Gas,0
36036,City of Ibadan,3,Public,2017,Oil,0
36036,City of Ibadan,4,Public,2017,Nuclear,0
36036,City of Ibadan,5,Public,2017,Hydro,0
36036,City of Ibadan,6,Public,2017,Biomass,0
36036,City of Ibadan,7,Public,2017,Wind,0
36036,City of Ibadan,8,Public,2017,Geothermal,0
36036,City of Ibadan,9,Public,2017,Solar,0
36036,City of Ibadan,10,Public,2017,Unknown sources,
54402,City of Lahti,1,Public,2017,Coal,6.4
54402,City of Lahti,2,Public,2017,Gas,6.2
54402,City of Lahti,3,Public,2017,Oil,0.2
54402,City of Lahti,4,Public,2017,Nuclear,27.1
54402,City of Lahti,5,Public,2017,Hydro,20.1
54402,City of Lahti,6,Public,2017,Biomass,13
54402,City of Lahti,7,Public,2017,Wind,2.8
54402,City of Lahti,8,Public,2017,Geothermal,0
54402,City of Lahti,9,Public,2017,Solar,0
54402,City of Lahti,10,Public,2017,Unknown sources,
36159,City of Lisbon,1,Public,2017,Coal,23
36159,City of Lisbon,2,Public,2017,Gas,19
36159,City of Lisbon,3,Public,2017,Oil,
36159,City of Lisbon,4,Public,2017,Nuclear,
36159,City of Lisbon,5,Public,2017,Hydro,33
36159,City of Lisbon,6,Public,2017,Biomass,
36159,City of Lisbon,7,Public,2017,Wind,24
36159,City of Lisbon,8,Public,2017,Geothermal,
36159,City of Lisbon,9,Public,2017,Solar,1
36159,City of Lisbon,10,Public,2017,Unknown sources,
43920,City of Ljubljana,1,Public,2017,Coal,0
43920,City of Ljubljana,2,Public,2017,Gas,0
43920,City of Ljubljana,3,Public,2017,Oil,0
43920,City of Ljubljana,4,Public,2017,Nuclear,0
43920,City of Ljubljana,5,Public,2017,Hydro,100
43920,City of Ljubljana,6,Public,2017,Biomass,0
43920,City of Ljubljana,7,Public,2017,Wind,0
43920,City of Ljubljana,8,Public,2017,Geothermal,0
43920,City of Ljubljana,9,Public,2017,Solar,0
43920,City of Ljubljana,10,Public,2017,Unknown sources,0
43926,City of Mannheim,1,Public,2017,Coal,42.3
43926,City of Mannheim,2,Public,2017,Gas,9.4
43926,City of Mannheim,3,Public,2017,Oil,5
43926,City of Mannheim,4,Public,2017,Nuclear,14.2
43926,City of Mannheim,5,Public,2017,Hydro,2.9
43926,City of Mannheim,6,Public,2017,Biomass,7.8
43926,City of Mannheim,7,Public,2017,Wind,1.3
43926,City of Mannheim,8,Public,2017,Geothermal,
43926,City of Mannheim,9,Public,2017,Solar,6
43926,City of Mannheim,10,Public,2017,Unknown sources,
37261,City of Pietermaritzburg,1,Public,2017,Coal,
37261,City of Pietermaritzburg,2,Public,2017,Gas,
37261,City of Pietermaritzburg,3,Public,2017,Oil,
37261,City of Pietermaritzburg,4,Public,2017,Nuclear,
37261,City of Pietermaritzburg,5,Public,2017,Hydro,
37261,City of Pietermaritzburg,6,Public,2017,Biomass,
37261,City of Pietermaritzburg,7,Public,2017,Wind,
37261,City of Pietermaritzburg,8,Public,2017,Geothermal,
37261,City of Pietermaritzburg,9,Public,2017,Solar,
37261,City of Pietermaritzburg,10,Public,2017,Unknown sources,
58569,City of Podgorica,1,Public,2017,Coal,0
58569,City of Podgorica,2,Public,2017,Gas,0
58569,City of Podgorica,3,Public,2017,Oil,0
58569,City of Podgorica,4,Public,2017,Nuclear,0
58569,City of Podgorica,5,Public,2017,Hydro,0
58569,City of Podgorica,6,Public,2017,Biomass,0
58569,City of Podgorica,7,Public,2017,Wind,0
58569,City of Podgorica,8,Public,2017,Geothermal,0
58569,City of Podgorica,9,Public,2017,Solar,0
58569,City of Podgorica,10,Public,2017,Unknown sources,
46514,City of Porto,1,Public,2017,Coal,28.1
46514,City of Porto,2,Public,2017,Gas,20.2
46514,City of Porto,3,Public,2017,Oil,2.5
46514,City of Porto,4,Public,2017,Nuclear,
46514,City of Porto,5,Public,2017,Hydro,18.7
46514,City of Porto,6,Public,2017,Biomass,5.9
46514,City of Porto,7,Public,2017,Wind,22.1
46514,City of Porto,8,Public,2017,Geothermal,0.4
46514,City of Porto,9,Public,2017,Solar,1.5
46514,City of Porto,10,Public,2017,Unknown sources,0.6
54459,City of Reykjavík,1,Public,2017,Coal,0
54459,City of Reykjavík,2,Public,2017,Gas,0
54459,City of Reykjavík,3,Public,2017,Oil,0
54459,City of Reykjavík,4,Public,2017,Nuclear,0
54459,City of Reykjavík,5,Public,2017,Hydro,70
54459,City of Reykjavík,6,Public,2017,Biomass,0
54459,City of Reykjavík,7,Public,2017,Wind,0
54459,City of Reykjavík,8,Public,2017,Geothermal,30
54459,City of Reykjavík,9,Public,2017,Solar,0
54459,City of Reykjavík,10,Public,2017,Unknown sources,
50154,City of Turku,1,Public,2017,Coal,14.7
50154,City of Turku,2,Public,2017,Gas,6.4
50154,City of Turku,3,Public,2017,Oil,0.4
50154,City of Turku,4,Public,2017,Nuclear,23.4
50154,City of Turku,5,Public,2017,Hydro,17.4
50154,City of Turku,6,Public,2017,Biomass,16.5
50154,City of Turku,7,Public,2017,Wind,2.4
50154,City of Turku,8,Public,2017,Geothermal,0
50154,City of Turku,9,Public,2017,Solar,0
50154,City of Turku,10,Public,2017,Unknown sources,18.8
54497,City of Wroclaw,1,Public,2017,Coal,96
54497,City of Wroclaw,2,Public,2017,Gas,2
54497,City of Wroclaw,3,Public,2017,Oil,0
54497,City of Wroclaw,4,Public,2017,Nuclear,0
54497,City of Wroclaw,5,Public,2017,Hydro,2
54497,City of Wroclaw,6,Public,2017,Biomass,0
54497,City of Wroclaw,7,Public,2017,Wind,0
54497,City of Wroclaw,8,Public,2017,Geothermal,0
54497,City of Wroclaw,9,Public,2017,Solar,0
54497,City of Wroclaw,10,Public,2017,Unknown sources,
59298,City of Yaoundé 6,1,Public,2017,Coal,0
59298,City of Yaoundé 6,2,Public,2017,Gas,0
59298,City of Yaoundé 6,3,Public,2017,Oil,0
59298,City of Yaoundé 6,4,Public,2017,Nuclear,0
59298,City of Yaoundé 6,5,Public,2017,Hydro,73.4
59298,City of Yaoundé 6,6,Public,2017,Biomass,0.4
59298,City of Yaoundé 6,7,Public,2017,Wind,0.3
59298,City of Yaoundé 6,8,Public,2017,Geothermal,25.6
59298,City of Yaoundé 6,9,Public,2017,Solar,0.3
59298,City of Yaoundé 6,10,Public,2017,Unknown sources,
43921,City of Zagreb,1,Public,2017,Coal,
43921,City of Zagreb,2,Public,2017,Gas,
43921,City of Zagreb,3,Public,2017,Oil,
43921,City of Zagreb,4,Public,2017,Nuclear,
43921,City of Zagreb,5,Public,2017,Hydro,
43921,City of Zagreb,6,Public,2017,Biomass,
43921,City of Zagreb,7,Public,2017,Wind,
43921,City of Zagreb,8,Public,2017,Geothermal,
43921,City of Zagreb,9,Public,2017,Solar,
43921,City of Zagreb,10,Public,2017,Unknown sources,
59168,Commune de Dioudoubou,1,Public,2017,Coal,
59168,Commune de Dioudoubou,2,Public,2017,Gas,
59168,Commune de Dioudoubou,3,Public,2017,Oil,
59168,Commune de Dioudoubou,4,Public,2017,Nuclear,
59168,Commune de Dioudoubou,5,Public,2017,Hydro,
59168,Commune de Dioudoubou,6,Public,2017,Biomass,
59168,Commune de Dioudoubou,7,Public,2017,Wind,
59168,Commune de Dioudoubou,8,Public,2017,Geothermal,
59168,Commune de Dioudoubou,9,Public,2017,Solar,
59168,Commune de Dioudoubou,10,Public,2017,Unknown sources,
36261,Comune di Bolzano,1,Public,2017,Coal,
36261,Comune di Bolzano,2,Public,2017,Gas,
36261,Comune di Bolzano,3,Public,2017,Oil,
36261,Comune di Bolzano,4,Public,2017,Nuclear,
36261,Comune di Bolzano,5,Public,2017,Hydro,100
36261,Comune di Bolzano,6,Public,2017,Biomass,
36261,Comune di Bolzano,7,Public,2017,Wind,
36261,Comune di Bolzano,8,Public,2017,Geothermal,
36261,Comune di Bolzano,9,Public,2017,Solar,
36261,Comune di Bolzano,10,Public,2017,Unknown sources,
36286,Comune di Ferrara,1,Public,2017,Coal,23.7
36286,Comune di Ferrara,2,Public,2017,Gas,33.1
36286,Comune di Ferrara,3,Public,2017,Oil,1
36286,Comune di Ferrara,4,Public,2017,Nuclear,4.2
36286,Comune di Ferrara,5,Public,2017,Hydro,20
36286,Comune di Ferrara,6,Public,2017,Biomass,5
36286,Comune di Ferrara,7,Public,2017,Wind,4
36286,Comune di Ferrara,8,Public,2017,Geothermal,1
36286,Comune di Ferrara,9,Public,2017,Solar,8
36286,Comune di Ferrara,10,Public,2017,Unknown sources,
36262,Comune di Genova,1,Public,2017,Coal,15
36262,Comune di Genova,2,Public,2017,Gas,40
36262,Comune di Genova,3,Public,2017,Oil,1
36262,Comune di Genova,4,Public,2017,Nuclear,3
36262,Comune di Genova,5,Public,2017,Hydro,15
36262,Comune di Genova,6,Public,2017,Biomass,3
36262,Comune di Genova,7,Public,2017,Wind,7
36262,Comune di Genova,8,Public,2017,Geothermal,2
36262,Comune di Genova,9,Public,2017,Solar,10
36262,Comune di Genova,10,Public,2017,Unknown sources,4
36484,Comune di Monza,1,Public,2017,Coal,0
36484,Comune di Monza,2,Public,2017,Gas,70.08
36484,Comune di Monza,3,Public,2017,Oil,27.16
36484,Comune di Monza,4,Public,2017,Nuclear,
36484,Comune di Monza,5,Public,2017,Hydro,
36484,Comune di Monza,6,Public,2017,Biomass,
36484,Comune di Monza,7,Public,2017,Wind,
36484,Comune di Monza,8,Public,2017,Geothermal,
36484,Comune di Monza,9,Public,2017,Solar,
36484,Comune di Monza,10,Public,2017,Unknown sources,2.76
36158,Comune di Napoli,1,Public,2017,Coal,
36158,Comune di Napoli,2,Public,2017,Gas,
36158,Comune di Napoli,3,Public,2017,Oil,
36158,Comune di Napoli,4,Public,2017,Nuclear,
36158,Comune di Napoli,5,Public,2017,Hydro,
36158,Comune di Napoli,6,Public,2017,Biomass,
36158,Comune di Napoli,7,Public,2017,Wind,
