Account ID	Account Name	Row	Access	Project Year	Energy Source	Percent
8242	City of Helsinki	8	Public	2017	Geothermal	
8242	City of Helsinki	9	Public	2017	Solar	
8242	City of Helsinki	10	Public	2017	Unknown sources	
36036	City of Ibadan	1	Public	2017	Coal	0
36036	City of Ibadan	2	Public	2017	Gas	0
36036	City of Ibadan	3	Public	2017	Oil	0
36036	City of Ibadan	4	Public	2017	Nuclear	0
36036	City of Ibadan	5	Public	2017	Hydro	0
36036	City of Ibadan	6	Public	2017	Biomass	0
36036	City of Ibadan	7	Public	2017	Wind	0
36036	City of Ibadan	8	Public	2017	Geothermal	0
36036	City of Ibadan	9	Public	2017	Solar	0
36036	City of Ibadan	10	Public	2017	Unknown sources	
54402	City of Lahti	1	Public	2017	Coal	6.4
54402	City of Lahti	2	Public	2017	Gas	6.2
54402	City of Lahti	3	Public	2017	Oil	0.2
54402	City of Lahti	4	Public	2017	Nuclear	27.1
54402	City of Lahti	5	Public	2017	Hydro	20.1
54402	City of Lahti	6	Public	2017	Biomass	13
54402	City of Lahti	7	Public	2017	Wind	2.8
54402	City of Lahti	8	Public	2017	Geothermal	0
54402	City of Lahti	9	Public	2017	Solar	0
54402	City of Lahti	10	Public	2017	Unknown sources	
36159	City of Lisbon	1	Public	2017	Coal	23
36159	City of Lisbon	2	Public	2017	Gas	19
36159	City of Lisbon	3	Public	2017	Oil	
36159	City of Lisbon	4	Public	2017	Nuclear	
36159	City of Lisbon	5	Public	2017	Hydro	33
36159	City of Lisbon	6	Public	2017	Biomass	
36159	City of Lisbon	7	Public	2017	Wind	24
36159	City of Lisbon	8	Public	2017	Geothermal	
36159	City of Lisbon	9	Public	2017	Solar	1
36159	City of Lisbon	10	Public	2017	Unknown sources	
43920	City of Ljubljana	1	Public	2017	Coal	0
43920	City of Ljubljana	2	Public	2017	Gas	0
43920	City of Ljubljana	3	Public	2017	Oil	0
43920	City of Ljubljana	4	Public	2017	Nuclear	0
43920	City of Ljubljana	5	Public	2017	Hydro	100
