,Year,AccountNum,AccountName,Coal,Gas,Oil,Nuclear,Hydro,Bioenergy,Wind,Geothemal,Solar,Other,NonRenewable,Reneweable,Total
354,2021,54104,City of Boulder,33.0,37.0,0.0,0.0,1.0,0.0,25.0,0.0,4.0,0.0,0.7,0.3,100.0
356,2021,14344,City of Park City,51.4,19.4,0.0,0.0,5.1,0.4,11.3,0.3,5.3,6.8,0.7080000000000001,0.2920000000000001,99.99999999999999
357,2021,10495,City of Las Vegas,0.0,70.9,0.0,0.0,1.54,0.38,2.01,11.9,11.36,1.91,0.709,0.2909999999999999,100.00000000000001
358,2021,73295,City of La Crosse,29.8,12.1,0.0,29.2,6.3,0.0,18.3,0.0,0.0,4.3,0.7110000000000001,0.28900000000000003,99.99999999999999
360,2021,49330,Kansas City,40.0,26.0,0.0,7.0,0.0,0.0,27.0,0.0,0.0,0.0,0.73,0.27,100.0
367,2021,31108,City of Houston,18.6,51.1,0.0,9.9,0.3,0.2,18.3,0.0,1.0,0.6,0.796,0.20400000000000001,100.0
371,2021,36410,City of Memphis,24.0,20.0,0.0,37.0,9.0,0.0,1.0,0.0,2.0,7.0,0.81,0.19,100.0
372,2021,49335,Metropolitan Government of Nashville and Davidson County,24.0,20.0,0.0,37.0,9.0,0.0,1.5,0.0,1.5,7.0,0.81,0.19,100.0
375,2021,54048,City of Knoxville,19.0,26.0,0.0,39.0,11.0,0.0,1.5,0.0,1.5,2.0,0.84,0.16,100.0
376,2021,54109,City of Bloomington,79.2,4.9,0.0,0.0,0.6,0.0,0.0,0.0,0.8,14.5,0.8410000000000001,0.159,100.0
378,2021,54113,City of Flagstaff,20.8,35.0,0.0,29.2,0.0,0.5,1.7,0.3,12.2,0.3,0.85,0.15,100.0
379,2021,43905,City of San Antonio,22.4,32.9,0.0,29.8,0.0,0.0,9.7,0.0,5.2,0.0,0.851,0.149,100.0
381,2021,74531,Santa Fe County,39.0,17.0,0.0,30.0,0.0,0.0,9.0,1.0,4.0,0.0,0.86,0.14,100.0
382,2021,35874,City of Phoenix,22.3,45.0,0.1,18.8,3.1,0.4,2.2,3.6,4.5,0.0,0.862,0.13800000000000004,99.99999999999999
386,2021,58668,City of New Bedford,8.0,61.0,2.0,16.0,7.0,3.0,2.0,0.0,1.0,0.0,0.87,0.13,100.0
389,2021,53921,City of Tempe,40.0,25.0,0.0,25.0,2.0,0.0,1.0,0.0,5.0,2.0,0.9,0.1,100.0
390,2021,43907,City of Indianapolis,43.0,45.0,2.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.9,0.1,100.0
391,2021,35859,City of Cleveland,34.85,25.34,0.03,30.47,5.74,0.38,2.28,0.0,0.02,0.89,0.9069000000000002,0.09310000000000002,99.99999999999999
392,2021,63562,City of South Bend,48.6,0.0,0.0,42.3,0.4,0.0,8.4,0.0,0.3,0.0,0.9089999999999999,0.091,100.00000000000001
396,2021,49334,City of Richmond,19.1,34.6,0.6,37.8,2.3,2.8,0.4,0.0,2.2,0.2,0.9209999999999999,0.079,100.0
398,2021,74594,City of Boynton Beach,5.34,70.04,0.38,17.13,0.0,0.0,0.0,0.0,0.06,7.05,0.9289000000000001,0.0711,100.0
400,2021,52894,City of Winston-Salem,8.2,28.6,0.3,56.4,1.6,1.1,0.0,0.0,3.8,0.0,0.9350000000000002,0.06500000000000002,99.99999999999999
401,2021,59545,City of Charlottesville,1.84,63.62,0.37,27.75,1.39,0.0,0.0,0.0,0.0,5.03,0.9358,0.0642,100.0
402,2021,35853,City of Baltimore,19.44,39.84,0.16,34.49,1.29,0.15,3.3,0.0,0.48,0.8500000000000001,0.9392999999999999,0.0607,100.00000000000001
407,2021,58485,Abington Township,35.2944,24.7756,0.6259,33.7896,0.9233,0.0008,3.7088,0.0,0.148,0.7336,0.9448550000000001,0.055145000000000007,99.99999999999999
408,2021,35857,City of Cincinnati,49.8,16.7,0.4,27.6,0.9,0.6,3.2,0.0,0.1,0.7,0.945,0.055,100.0
409,2021,43910,City of Columbus,49.8,16.7,0.4,27.6,0.9,0.6,3.2,0.0,0.1,0.7,0.945,0.055,100.0
410,2021,31090,District of Columbia,12.3,45.7,0.1,36.9,1.6,1.6,0.9,0.0,0.6,0.3,0.9500000000000002,0.05000000000000001,99.99999999999999
413,2021,31181,City of Philadelphia,17.6,38.0,0.2,39.7,0.9,1.9,1.0,0.0,0.4,0.3,0.9549999999999998,0.04499999999999999,100.00000000000001
420,2021,55799,Arlington,26.0,24.0,0.0,47.0,0.0,0.0,0.0,0.0,3.0,0.0,0.97,0.03,100.0
421,2021,49333,City of Louisville,60.0,37.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.97,0.03,100.0
424,2021,55801,City of West Palm Beach,2.36,73.24,0.31,22.64,0.0,0.0,0.0,0.0,1.45,0.0,0.9854999999999999,0.014499999999999999,100.0
